alienres,Long Name,Alien Rescue (Homebrew, Test Build July 2019)
aliens,Chinese Name,异形 (世界版 第 1 套)
aliens2,Chinese Name,异形 (世界版 第 2 套)
aliens3,Chinese Name,异形 (世界版 第 3 套)
aliens4,Long Name,Aliens (World set 4)
aliensa,Chinese Name,异形 (亚版)
aliensec,Chinese Name,爆突 
aliensj,Chinese Name,异形 (日版 第 1 套)
aliensj2,Chinese Name,异形 (日版 第 2 套)
aliensu,Chinese Name,异形 (美版)
aliensu2,Long Name,Aliens (US set 2)
aliensyn,Chinese Name,异形入侵 (第 4 套, System 16B, 未保护版)
aliensyn2,Chinese Name,异形入侵 (第 2 套, System 16A, FD1089A 317-0033)
aliensyn3,Chinese Name,异形入侵 (第 3 套, System 16B, FD1089A 317-0033)
aliensyn5,Chinese Name,异形入侵 (第 5 套, System 16A, FD1089B 317-0037)
aliensyn7,Chinese Name,异形入侵 (第 7 套, System 16B, MC-8123B 317-00xx)
aliensynj,Chinese Name,异形入侵 (第 6 套, 日版, 新版, System 16B, FD1089A 317-0033)
aliensynjo,Chinese Name,异形入侵 (第 1 套, 日版, 旧版, System 16A, FD1089A 317-0033)
aligator,Chinese Name,鳄鱼猎人 (世界版, 保护版)
aligators,Chinese Name,鳄鱼猎人 (Spain, 保护版)
aligatorun,Chinese Name,鳄鱼猎人 (未保护版, 第 1 套)
aligatoruna,Chinese Name,鳄鱼猎人 (未保护版, 第 2 套)
alinvade,Chinese Name,异形入侵者 
alpha1v,Chinese Name,阿尔法壹号 (Vision Electronics)
alpham2,Chinese Name,阿尔法任务 II / ASO II - 最后的守护神 (NGM-007 ~ NGH-007)
alpham2p,Chinese Name,阿尔法任务 II / ASO II - 最后的守护神 (原型版)
alphamis,Chinese Name,阿尔法任务 
alphaone,Chinese Name,阿尔法壹号 (原型版, 3 条命)
alphaonea,Chinese Name,阿尔法壹号 (原型版, 5 条命)
alphaxz,Chinese Name,阿尔法任务 Z (日版)
alpine,Chinese Name,高山滑雪 (第 1 套)
alpinea,Chinese Name,高山滑雪 (第 2 套)
altbeast,Chinese Name,兽王记 (第 8 套) (8751 317-0078)
altbeast2,Chinese Name,兽王记 (第 2 套) (MC-8123B 317-0066)
altbeast4,Chinese Name,兽王记 (第 4 套) (MC-8123B 317-0066)
altbeast5,Chinese Name,兽王记 (第 5 套) (FD1094 317-0069)
altbeast5d,Chinese Name,兽王记 (第 5 套) (盗版自 FD1094 317-0069 set)
altbeast6,Chinese Name,兽王记 (第 6 套) (8751 317-0076)
altbeastj,Chinese Name,兽王记 (第 7 套, 日版) (8751 317-0077)
altbeastj1,Chinese Name,兽王记 (第 1 套, 日版) (FD1094 317-0065)
altbeastj3,Chinese Name,兽王记 (第 3 套, 日版) (FD1094 317-0068)
altbeastj3d,Chinese Name,兽王记 (第 3 套, 日版) (盗版自 FD1094 317-0068 set)
amatelas,Chinese Name,圣战士阿玛迪斯 
amazon,Chinese Name,圣战士阿玛迪斯 
amazont,Chinese Name,圣战士阿玛迪斯 (Tecfri 授权)
ambush,Chinese Name,阿米巴契战机 
ambushh,Chinese Name,阿米巴契战机 (修改版?)
ambushj,Chinese Name,阿米巴契战机 (日版)
ambushv,Chinese Name,阿米巴契战机 (Volt Electronics)
amidar,Chinese Name,占地金刚 
amidar1,Chinese Name,占地金刚 (旧版)
amidarb,Chinese Name,占地金刚 (盗版)
amidaro,Chinese Name,占地金刚 (Olympia)
amidars,Chinese Name,占地金刚 (Scramble 硬件)
amidaru,Chinese Name,占地金刚 (Stern Electronics)
amigo,Chinese Name,占地金刚 (盗版自 Amidar, 第 1 套)
amspdwy,Chinese Name,环绕赛车 - 美国竞技场 (第 1 套)
amspdwya,Chinese Name,环绕赛车 - 美国竞技场 (第 2 套)
androdun,Chinese Name,勇者之击 (NGM-049 ~ NGH-049)
androidp,Chinese Name,安卓 (原型版, later build)
androidpo,Chinese Name,安卓 (原型版, early build)
angelkds,Chinese Name,天使奇妙冒险 (日版)
anteater,Chinese Name,食蚁兽 
anteaterg,Chinese Name,食蚁兽 (德版)
anteateruk,Chinese Name,食蚁兽 (UK)
aodk,Chinese Name,痛快 GANGAN 进行曲 / 热血进行曲 (ADM-008 ~ ADH-008)
aof,Chinese Name,龙虎之拳 (NGM-044 ~ NGH-044)
aof2,Chinese Name,龙虎之拳 2 (NGM-056)
aof2a,Chinese Name,龙虎之拳 2 (NGH-056)
aof2bh,Long Name,Art of Fighting 2 / Ryuuko no Ken 2 (Enable hidden characters V2)
aof3,Chinese Name,龙虎之拳 3 - 斗士之路 / 龙虎之拳 外传 
aof3bh,Long Name,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (Enable Hidden Characters V2)
aof3k,Chinese Name,龙虎之拳 3 - 斗士之路 / 龙虎之拳 外传 (韩国发行版)
aoh,Chinese Name,英雄年代 - 丝绸之路 2 (v0.63 - 2001/02/07)
aponow,Chinese Name,现代启示录 (盗版自 Rescue)
appoooh,Chinese Name,摔跤擂台 
aquajack,Chinese Name,战斗快艇 - 杰克小子 (世界版)
aquajackj,Chinese Name,战斗快艇 - 杰克小子 (日版)
aquajacku,Chinese Name,战斗快艇 - 杰克小子 (美版)
aquarium,Chinese Name,海底生物战 (美版)
aquariumj,Chinese Name,海底生物战 (日版)
arabfgt,Chinese Name,阿拉丁传奇 (世界版)
arabfgtj,Chinese Name,阿拉丁传奇 (日版)
arabfgtu,Chinese Name,阿拉丁传奇 (美版)
arabian,Chinese Name,阿拉丁 
arabiana,Chinese Name,阿拉丁 (Atari)
arabianm,Chinese Name,阿拉丁神灯 (版本 1.0O 1992/07/06)
arabianmj,Chinese Name,阿拉丁神灯 (版本 1.0J 1992/07/06)
